part,step,agent,lr,batch,gamma,hidden_dim,buffer,mean_reward,median_reward,final_reward,mean_episode_length
1,p1_batch,dqn,,64,,,,185.2356991,104.27770912022649,374.95694690355464,726.8433333333334
1,p1_batch,dqn,,256,,,,276.70356295585043,381.84445813091963,413.3889501,476.0733333333333
1,p1_batch,dqn,,1024,,,,266.0932648,368.02725888125804,430.9722873262881,453.73333333333335
1,p1_batch,ppo,,64,,,,8.323173994,-0.554648293,-0.582408171,2492.7533333333336
1,p1_batch,ppo,,256,,,,-0.254666643,-0.504907094,-0.359435934,2972.9166666666665
1,p1_batch,ppo,,1024,,,,81.45054891,58.56691866147112,185.63052554932617,809.99
1,p1_buffer,dqn,,,,,5000,140.3203723,53.54249597481346,412.05862874610085,1006.36
1,p1_buffer,dqn,,,,,20000,197.0155231,214.87686437086876,389.59839890821456,633.35
1,p1_buffer,dqn,,,,,100000,183.1062919,121.99518905959218,389.6179333558111,822.3766666666667
1,p1_buffer,ppo,,,,,5000,0.24173415664354175,-0.519820787,1.0513704551318155,2966.2833333333333
1,p1_buffer,ppo,,,,,20000,40.19516793856538,17.115519340707944,172.8214574414973,1342.64
1,p1_buffer,ppo,,,,,100000,13.580515076955127,7.069857099204075,0.3487459704412742,2050.6966666666667
1,p1_gamma,dqn,,,0.95,,,274.04831131015175,368.08511544223325,405.1238709358549,424.89
1,p1_gamma,dqn,,,0.99,,,276.70356295585043,381.84445813091963,413.3889501,476.0733333333333
1,p1_gamma,dqn,,,0.999,,,185.1525502937914,143.0108498442767,368.1574380347496,736.7966666666666
1,p1_gamma,ppo,,,0.95,,,42.750134730637946,25.24353523658836,62.09759295082287,1462.2566666666667
1,p1_gamma,ppo,,,0.99,,,26.35483531030493,11.364909404530575,131.0202414233796,1703.4533333333334
1,p1_gamma,ppo,,,0.999,,,6.721552840403722,-0.543050995,17.261232472802075,2526.1266666666666
1,p1_hidden,dqn,,,,64,,129.22808666062156,91.0113003,297.85728231187034,684.3466666666667
1,p1_hidden,dqn,,,,256,,272.2533659,361.2665050224009,397.3418398328044,410.32
1,p1_hidden,dqn,,,,512,,318.6765951562345,389.51948862139693,413.38692735971836,227.10666666666665
1,p1_hidden,ppo,,,,64,,65.96931756914157,29.61933892379104,-0.703381217,1066.7833333333333
1,p1_hidden,ppo,,,,256,,0.38979623232669547,-0.253984171,2.5184227563562125,2985.653333333333
1,p1_hidden,ppo,,,,512,,0.8530125886913004,0.20644694890665277,-0.009344985,2959.7933333333335
1,p1_lr,dqn,0.0001,,,,,111.44605350434313,2.3947862394639756,558.1418297307542,1779.91
1,p1_lr,dqn,0.0003,,,,,276.70356295585043,381.84445813091963,413.3889501,476.0733333333333
1,p1_lr,dqn,0.001,,,,,294.58881274912676,397.0605190388841,381.6719370101103,365.42333333333335
1,p1_lr,ppo,0.0001,,,,,33.50527673964652,23.176422020462425,88.57550838203454,1320.4566666666667
1,p1_lr,ppo,0.0003,,,,,26.35483531030493,11.364909404530575,131.0202414233796,1703.4533333333334
1,p1_lr,ppo,0.001,,,,,0.18096986028962403,-0.476671168,-0.461624019,2965.3433333333332
