part,level_file,agent,param,value,total_time,collisions,goals,results_file
p1_lr,warehouse_level_1,dqn,lr,0.0001,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_1,ppo,lr,0.0001,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_2,dqn,lr,0.0001,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_2,ppo,lr,0.0001,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_1,dqn,lr,0.0003,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_1,ppo,lr,0.0003,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_2,dqn,lr,0.0003,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_2,ppo,lr,0.0003,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_1,dqn,lr,0.001,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_1,ppo,lr,0.001,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_2,dqn,lr,0.001,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_lr,warehouse_level_2,ppo,lr,0.001,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_1,dqn,batch,64,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_1,ppo,batch,64,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_2,dqn,batch,64,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_2,ppo,batch,64,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_1,dqn,batch,256,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_1,ppo,batch,256,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_2,dqn,batch,256,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_2,ppo,batch,256,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_1,dqn,batch,1024,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_1,ppo,batch,1024,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_2,dqn,batch,1024,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_batch,warehouse_level_2,ppo,batch,1024,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_1,dqn,gamma,0.95,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_1,ppo,gamma,0.95,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_2,dqn,gamma,0.95,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_2,ppo,gamma,0.95,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_1,dqn,gamma,0.99,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_1,ppo,gamma,0.99,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_2,dqn,gamma,0.99,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_2,ppo,gamma,0.99,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_1,dqn,gamma,0.999,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_1,ppo,gamma,0.999,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_2,dqn,gamma,0.999,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_gamma,warehouse_level_2,ppo,gamma,0.999,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_1,dqn,hidden,64,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_1,ppo,hidden,64,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_2,dqn,hidden,64,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_2,ppo,hidden,64,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_1,dqn,hidden,256,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_1,ppo,hidden,256,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_2,dqn,hidden,256,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_2,ppo,hidden,256,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_1,dqn,hidden,512,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_1,ppo,hidden,512,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_2,dqn,hidden,512,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
p1_hidden,warehouse_level_2,ppo,hidden,512,,,,PPOAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_lam0.95_c0.1_ent0.4_ppo_ep4.json
